Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
2021-02-01,Waddell Ranch,50757,38068,58.09,2.28,190570,142928
2021-09-01,Waddell Ranch,120643,90482,70.09,6.36,265108,198831
2021-07-01,Waddell Ranch,102735,77051,71.32,3.45,249359,187019
2021-05-01,Waddell Ranch,94554,70916,63.97,2.61,194689,146017
2021-08-01,Waddell Ranch,108522,81392,66.66,3.44,257857,193393
2021-06-01,Waddell Ranch,90258,67694,70.22,4.21,220120,165090
2021-10-01,Waddell Ranch,133626,100220,80.18,8.89,369258,276944
2021-03-01,Waddell Ranch,74075,55556,61.36,3.38,157614,118211
2021-04-01,Waddell Ranch,80362,60272,59.93,1.91,259608,194706
2021-01-01,Waddell Ranch,61828,46371,50.16,2.2,218264,163653
